ALL	sentiment	NO literature	sentiment		ALL - negative	ALL - positive	NO - negative	NO - positive
pratiquaient	1	prieraient	1					
dépeignaient	1	regarderaient	1					
sanctifiait	1	léguaient	1					
ressusciterai	1	rêvèrent	1					
rechercheraient	1	constituions	1					
réconcilieraient	1	interpoler	1					
marieraient	1	réhabilitent	1					
professent	1	contrebalançait	1					
philosophes	1	professent	1					
proclamais	1	consolions	1					
troquait	1	reconstituèrent	1					
apaiserons	1	concevaient	1					
excuseraient	1	allemands	1					
assouvissaient	1	ressusciterai	1					
entremetteuses	1	réconcilieront	1					
dédient	1	adorerait	1					
sanctifiaient	1	voyagèrent	1					
épouseront	1	célébrerez	1					
transformerons	1	déshabillaient	1					
espéreraient	1	bâtiras	1					
fusionnèrent	1	religions	1					
dogmes	1	assouvissaient	1					
voyants	1	attesterait	1					
habituais	1	convoitaient	1					
psaumes	1	susciteraient	1					
observeraient	1	commémorer	1					
avérer	1	interprétèrent	1					
allemands	1	enseignaient	1					
évangélique	1	exalterai	1					
excusèrent	1	marchandaient	1					
amassèrent	1	communiaient	1					
pensaient	1	princes	1					
participerons	1	invoqueraient	1					
prêchions	1	bibliques	1					
communiquiez	1	introduisaient	1					
purifierez	1	ressemblerez	1					
conquérants	1	exemptaient	1					
incorporait	1	attroupèrent	1					
avaleront	1	compatriotes	1					
revêtiras	1	discouraient	1					
dédièrent	1	possédants	1					
adorer	1	déclarerai	1					
ressusciterons	1	avérer	1					
assurions	1	paganismes	1					
catholique	1	affiliaient	1					
nomades	1	relâcheront	1					
hériteraient	1	adorerez	1					
récitèrent	1	relâchaient	1					
prédisent	1	perpétuaient	1					
rassasiera	1	tatouaient	1					
princes	1	exemptèrent	1					
théologiens	1	harems	1					
pélagique	1	approvisionnèrent	1					
liturgies	1	psaumes	1					
ressuscita	1	allièrent	1					
discernaient	1	entoureraient	1					
mériterions	1	temples	1					
biblique	1	catholique	1					
suivîtes	1	prédirent	1					
méditions	1	royaume	1					
polonais	1	tolérance	1					
déclareriez	1	commémorations	1					
assimilaient	1	divertirait	1					
apaiseraient	1	bénéficièrent	1					
ressusciteront	1	glorifieront	1					
symboliquement	1	deviendrions	1					
portâtes	1	rétabliront	1					
saintetés	1	rémunérait	1					
soldats	1	prédisent	1					
icône	1	pélagique	1					
ésotérique	1	respecteront	1					
magiciennes	1	cérémonielles	1					
dépeignirent	1	rites	1					
traitas	1	apportas	1					
millénaire	1	familiarisaient	1					
persévérèrent	1	rassembleraient	1					
habiteraient	1	stratèges	1					
versets	1	admirerions	1					
exalteront	1	approvisionna	1					
dompterait	1	bandèrent	1					
déchiffraient	1	assurions	1					
inculquera	1	guets	1					
bâtirez	1	avaleront	1					
discourent	1	adjoignis	1					
ouvririons	1	restaurèrent	1					
respirèrent	1	commentaient	1					
fermeraient	1	rétrospectivement	1					
résurrection	1	assimilaient	1					
inégalé	1	reconstruisent	1					
tribu	1	orthodoxe	1					
pacifièrent	1	accordâmes	1					
réservèrent	1	engloba	1					
dévoueront	1	aborigène	1					
gouvernerai	1	englobait	1					
tribus	1	hébergement	1					
réhabilitèrent	1	contrefaisaient	1					
modernisme	1	approcheraient	1					
évangiles	1	veillèrent	1					
scellèrent	1	frontaliers	1					
méditerez	1	nattent	1					
promissoire	1	recherchèrent	1					
adorerez	1	apaiseraient	1					
professèrent	1	pénétreraient	1					
administreraient	1	professèrent	1					
approvisionnait	1	invoquions	1					
possédants	1	accompliraient	1					
consoleraient	1	prédictions	1					
adorerait	1	séduiront	1					
ordonnâtes	1	appropriaient	1					
attachas	1	innovait	1					
orthodoxies	1	orthodoxies	1					
restaurèrent	1	vainqueurs	1					
exportèrent	1	béniras	1					
supplantèrent	1	participèrent	1					
influençaient	1	étonnions	1					
accoutumaient	1	empereurs	1					
façonnèrent	1	convaincraient	1					
recouraient	1	certifièrent	1					
		gênèrent	0					
		foutaise	0					
		déchires	0					
		désapprouvèrent	0					
		différèrent	0					
		protesterions	0					
		schisme	0					
		inexistants	0					
		réfutera	0					
		irrites	0					
		obstruèrent	0					
		assassinèrent	0					
		injuriaient	0					
		videront	0					
		renverserez	0					
		huaient	0					
		apostat	0					
		sécheront	0					
		accroupissaient	0					
		scepticismes	0					
		abrutissait	0					
		débiteurs	0					
		insisteront	0					
		crissa	0					
		gerba	0					
		contesteront	0					
		blasphème	0					
		dissuadait	0					
		léchèrent	0					
		pirateries	0					
		rattrapèrent	0					
		enterrèrent	0					
		humiliais	0					
		punissiez	0					
		cimentèrent	0					
		échapperiez	0					
		abdiquaient	0					
		nieras	0					
		tressailliront	0					
		oppriment	0					
		intimiderait	0					
		secourait	1					
		apparenter	1					
		modérèrent	1					
		toucherions	1					
		prophétise	1					
		célébrations	1					
		réhabilitait	1					
		évangélique	1					
		exercions	1					
		fréquenteraient	1					
		fabriquèrent	1					
		patriotismes	1					
		traduisirent	1					
		rédemption	1					
		évangélistes	1					
		prédisaient	1					
		moines	1					
		préféraient	1					
		respections	1					
		excusèrent	1					
		invoquerez	1					
		glorifiais	1					
		tribu	1					
		embaucha	1					
		contempleront	1					
		habituais	1					
		évangiles	1					
		paganisme	1					
		contrefont	1					
		attirerons	1					
		vendraient	1					
		coexistaient	1					
		procréent	1					
